precaution,limit_high,name,limit_low,functionals
임산부와 수유부는 섭취에 주의하시기 바랍니다.,1500,AP콜라겐효소분해펩타이드,1000,피부 보습
"과다 섭취 시 구토, 설사, 메스꺼움 등의 위장관장애가 나타날 수 있으며 위장장애가 있는 분은 섭취에 주의|임산부, 수유 여성, 어린이는 섭취에 주의",300.1,BT-11원지추출분말,299.9,기억력 개선
임산부 및 수유부는 섭취 시 주의,893,CMO 함유 FAC,893,관절 및 연골 건강
임산부와 수유부는 섭취에 주의하시기 바랍니다.,2,Collactive콜라겐펩타이드,2,피부 보습
,1000.1,Enterococcus faecalis 가열처리건조분말,999.9,코막힘 개선
" 의약품(항응고제, 항혈소판제, 혈압강하제 등) 복용 시 전문가와 상담할 것 (나) 개인에 따라 피부 관련 이상반응이 발생할 수 있음 (다) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",2,EPA 및 DHA,0.5,"혈중 중성지질 개선, 혈행개선, 기억력 개선, 건조한 눈 개선"
,3,Green Mate Extract EFLA® 920,3,체지방 감소
,350.01,HK표고버섯균사체,349.99,간 건강
"·질환이 있거나 의약품 복용 시 전문가와 상담할 것 ·특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의 ·영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 ·이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",10000000000,L. plantarum IM76과 B.longum IM55 복합물(NVP1703),1000000000,코 상태 개선
?질환이 있거나 의약품(면역억제제 등) 복용 시 전문가와 상담할 것 ?알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 ?어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것 ?이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,100000000,Lactobacillus acidophilus YT1,100000000,갱년기 여성의 건강
산성도가 낮은 음료나 뜨거운 물과 함께 복용하는 것을 피하는 것이 좋음,0,Lactobacillus gasseri BNR17,0,체지방 감소
유당불내증이 있는 사람은 섭취에 주의,1,Lactobacillus helveticus 발효물,1,노인의 인지력 개선
,0,Lactobacillus sakei Probio65,0,피부상태 개선
·질환이 있거나 의약품(면역억제제 등) 복용 시 전문가와 상담할 것 ·알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 ·어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것 ·이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,10000000000,Lactobacillus복합물HY7601+KY1032,10000000000,체지방 감소
·과도한 설탕의 섭취는 건강에 해로울 수 있음 ·본 원료를 과량으로 섭취하면 설사를 유발할 수 있음 ·당뇨병 치료를 받으시는 분은 의사와 상담 후 본 원료를 섭취할 것을 권장함,6,L-arabinose,6,혈당 조절
"Methotrexate, anticonvulsants, lactulose의 효과를 경감시킬 우려가 있음|MSG에 민감한 사람은 섭취를 주의해야 함|신장 및 간질환이 있는 환자는 섭취를 주의해야 함|임산부, 수유부는 의사의 처방 없이는 섭취를삼가야 함",5000,L-글루타민,3000,과도한 운동 후 신체저항능력 향상에 도움
"임산부와 수유기 여성, 어린이는 섭취에 주의하시기 바람",20.1,L-글루타민산 유래 GABA 함유 분말,19.9,높은 혈압 감소
,6,L-아르기닌,6,혈행개선
,2,L-카르니틴 타르트레이트,2,체지방 감소
,400,MR-10 민들레등복합추출물,400,갱년기 남성의 건강
· 임산부 및 수유부는 섭취를 피할 것 · 알레르기를 나타내는 사람은 섭취 시 주의 · 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 · 에스트로겐 호르몬에 민감한 사람은 섭취에 주의 · 항우울제 또는 호르몬제를 복용하는 사람은 섭취에 주의,300,MS-10 엉겅퀴등복합추출물,300,갱년기 여성의 건강
게 또는 새우에 알레르기가 있는 사람은 섭취에 주의(게 또는 새우를 원재료로 사용한 경우에 한함),1,"NAG(엔에이지, N-아세틸글루코사민, N-Acetylglucosamine)",0.5,"관절 및 연골 건강, 피부 보습"
"어린이, 임산부 및 수유여성은 섭취에 주의",4.4,nopal추출물,4.2,혈당 조절
밀 단백질에 알레르기를 나타내는 사람은 섭취에 주의,1000,PME-88 멜론추출물,500,"혈행개선, 피부건강 유지"
#NAME?,1000000000,UREX 프로바이오틱스,1000000000,유산균 증식을 통한 여성 질 건강 개선
" 어린이, 임산부 및 수유부는 섭취를 피할 것 (나) 간·신장·심장질환, 알레르기 및 천식이 있거나 의약품 복용 시 전문가와 상담할 것 (다) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",2800,가르시니아캄보지아추출물,750,탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음
1) 영유아 임산부 수유부는 섭취에 주의2) 알레르기 체질이거나 특정질환이 있는 사람은 섭취에 주의,800,가시오가피숙지황복합추출물,800,뼈 건강
"·임산부 및 수유부 여성은 섭취에 주의 ·알레르기 및 특이체질, 질병치료 중인 사람은 섭취에 주의",1.5,가시오갈피등복합추출물,1.5,관절 및 연골 건강
"임산부, 수유부는 섭취를 삼가시기 바랍니다.|어린이, 노인, 신부전이 있는 사람, 혈압약을 복용하시는 분이 섭취 시에는 의사와 상담하셔야 합니다.",1.5,가쯔오부시올리고펩타이드,1.5,혈압조절
,8.4,갈락토올리고당,2.1,장내 유익균 증식 및 유해균 억제
영·유아·어린이는 섭취 전 의사와 상담한 후 섭취할 것 (면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있다는 기능성을 표시?판매하는 경우에 한함),300,감마리놀렌산 함유 유지,160,"혈중 콜레스테롤 개선, 혈행개선, 월경전 변화에 의한 불편한 상태 개선, 피부상태 개선"
"·임산부, 수유부 섭취에 주의 ·간장, 신장, 심장 등의 기능 이상자는 섭취에 주의",150,감초추출물,150,"위 건강, 위 점막 내 헬리코박터균 증식 억제, 위 점막 보호"
"·요오드 함량이 높은 식품(해조류, 어패류 등) 섭취 시 주의 ·갑상선질환, 위장관 질환 또는 위장관 장애 등을 보유하고 있는 사람은 섭취 시 주의 ·임산부, 수유부 및 12세 이하 어린이는 섭취 시 주의",499.99,감태추출물,500.01,수면의 질 개선
"- 영·유아, 임산부, 수유부는 섭취에 주의- 강황 알레르기 체질이거나 특정질환(담낭질환 등)이 있는 분은 섭취에 주의- 제안된 섭취량 이상 섭취 시 소화불량, 위장장애, 메스꺼움, 위산역류 등이 있을 수 있음",1000.01,강황추출물,999.99,관절 및 연골 건강
