카테고리,주된기능성
면역,면역력 증진
면역,"효소, 호르몬, 항체의 구성에 필요"
면역,정상적인 면역기능에 필요
면역,유해산소로부터 세포 보호
혈관,혈소판 응집억제를 통한 혈액흐름
혈당,혈당상승 억제
혈당,혈당 유지
혈당,혈당 조절
혈관,혈중 콜레스테롤 개선
혈관,혈압조절
혈관,높은 혈압 감소
혈관,혈압 유지
혈관,혈액흐름 개선
혈관,혈중 중성지질 개선
혈관,혈액응고
혈관,혈행개선
혈관,활성산소제거
피로감,피로개선
기억력,기억력 개선
피부,항산화
피부,피부건강 유지
피부,피부와 점막을 형성하고 기능을 유지하는데 필요
피부,상피세포의 성장과 발달에 필요
피부,피부상태 개선
피부,피부 보습
간,간 건강
위,위 건강
위,위 점막 내 헬리코박터균 증식 억제
위,위 점막 보호
체지방,체지방 감소
장,장 건강
장,배변활동
장,장내 유익균 증식 및 유해균 억제
장,유산균 증식
눈,눈 건강
눈,눈 피로 개선
눈,어두운 곳에서 시각 적응을 위해 필요
눈,건조한 눈 개선
운동,운동능력 향상
운동,신경과 근육 기능 유지
운동,신경발달
운동,에너지 이용
운동,"근육, 결합조직 등 신체조직의 구성성분"
운동,근력 개선
운동,지구력증진
뼈,관절 및 연골 건강
뼈,뼈 건강
뼈,뼈와 치아 형성
뼈,골다공증 발생 위험 감소
뼈,체내 칼슘흡수 촉진
여성,갱년기 여성의 건강
여성,질 내 건강
여성,유산균 증식을 통한 여성 질 건강 개선
남성,전립선 건강
남성,갱년기 남성의 건강
남성,정자 운동성 개선
노인,노인의 인지력 개선
노인,노인의 기억력 개선
치아,구강에서의 항균작용
치아,충치발생위험감소
치아,플라그 감소
치아,산 생성 억제
코,코 상태 개선
코,코막힘 개선
수면,수면의 질 개선
수면,긴장완화
신장,방광의 배뇨기능 개선
신장,요로 건강
어린이,어린이 키성장
어린이,태아 신경관의 정상 발달에 필요
신진대사,효소 활성화
신진대사,"지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
신진대사,에너지 생성에 필요
신진대사,탄수화물과 에너지 대사에 필요
신진대사,지방 소화
신진대사,정상적인 엽산 대사에 필요
신진대사,단백질 및 아미노산 이용에 필요
신진대사,혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
신진대사,"에너지, 포도당, 지질의 합성에 필요"
신진대사,체내 필수 영양성분이나 활성물질의 운반과 저장에 필요
신진대사,철의 흡수
신진대사,철의 운반과 이용에 필요
신진대사,"체액, 산-염기의 균형 유지에 필요"
신진대사,결합조직 형성과 기능유지
신진대사,세포와 혈액생성에 필요
신진대사,정상적인 세포분열에 필요
신진대사,체내 산소운반과 혈액생성에 필요
신진대사,체내 물과 전해질 균형에 필요
신진대사,필수지방산의 보충
신진대사,산화·환원 효소의 활성에 필요
신진대사,식이섬유 보충
갑상선,갑상선 호르몬
